,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,N,P,K
128,madhya pradesh,mandla,3.0,6.8,0.3,0.0,13.0,143.2,370.5,191.9,199.7,15.7,0.0,0.0,M,M,M
129,madhya pradesh,mandsaur,0.5,0.0,0.0,0.0,5.3,89.7,362.5,129.6,80.7,0.0,0.0,0.5,L,M,H
130,madhya pradesh,morena,20.3,0.0,6.6,0.0,10.8,69.3,164.3,140.3,72.1,0.0,0.0,9.0,L,M,L
131,madhya pradesh,narsinghpur,0.6,13.6,0.2,0.0,14.2,113.0,296.6,132.6,186.0,20.2,0.0,0.0,M,M,H
132,madhya pradesh,neemuch,1.3,0.0,0.7,0.0,0.0,121.8,386.2,182.3,107.0,0.0,0.0,1.7,L,M,H
133,madhya pradesh,panna,1.0,3.8,0.0,0.0,10.6,50.1,478.8,226.1,87.0,0.0,0.0,0.0,L,L,H
134,madhya pradesh,raisen,2.8,10.0,0.9,0.0,11.4,181.6,384.3,132.8,183.7,11.9,8.0,0.0,M,M,H
136,madhya pradesh,rajgarh,0.0,0.4,0.4,0.0,6.8,114.8,430.7,161.8,119.7,5.4,0.0,0.6,H,H,H
137,madhya pradesh,ratlam,0.0,0.0,0.0,0.0,2.4,114.6,418.1,319.7,119.3,1.7,0.0,2.0,L,M,H
138,madhya pradesh,rewa,4.6,4.2,0.0,0.0,3.1,131.0,551.2,126.1,71.4,0.0,0.0,0.0,M,M,M
139,madhya pradesh,sagar,0.8,11.6,1.1,0.0,11.1,149.8,353.0,126.1,219.3,11.3,0.0,0.0,M,M,L
140,madhya pradesh,satna,2.4,3.2,3.2,0.0,1.5,102.8,422.6,132.6,71.0,3.9,0.0,0.0,M,M,M
141,madhya pradesh,sehore,1.7,1.6,0.0,0.0,5.1,162.9,321.0,218.7,189.8,4.6,0.0,0.0,H,H,H
142,madhya pradesh,seoni,6.5,9.5,0.0,0.0,19.5,177.5,329.2,167.6,173.0,24.2,0.3,0.0,M,M,H
143,madhya pradesh,shahdol,6.0,7.0,6.0,0.0,1.0,101.2,167.3,360.8,69.2,25.0,0.0,0.0,M,M,H
144,madhya pradesh,shajapur,0.0,0.0,0.0,0.0,3.2,147.5,236.0,90.8,174.7,9.0,1.3,0.7,M,M,H
145,madhya pradesh,shivpuri,19.5,0.0,1.3,0.0,3.3,87.4,144.0,95.9,170.0,0.0,0.0,1.8,L,L,M
146,madhya pradesh,sidhi,8.2,2.0,1.4,0.0,8.4,62.2,439.4,153.4,67.4,5.6,0.0,0.0,L,M,L
147,madhya pradesh,ujjain,0.0,0.0,0.0,4.0,26.2,102.0,323.1,203.1,146.3,5.4,0.0,4.0,M,L,H
148,madhya pradesh,umaria,10.5,10.2,3.4,0.0,42.4,91.4,357.6,140.3,67.8,5.0,0.0,0.0,M,L,M
149,maharashtra,akola,0.0,0.0,0.1,0.0,0.0,125.2,168.0,156.2,98.7,86.5,0.0,0.0,L,L,H
150,maharashtra,beed,0.0,0.0,5.7,0.0,2.9,169.1,76.7,237.0,154.6,112.0,0.0,12.7,L,M,H
151,maharashtra,bhandara,0.6,0.0,10.1,0.0,13.6,111.5,304.2,293.7,117.0,51.5,0.0,0.0,L,L,H
152,maharashtra,buldhana,0.3,0.0,1.2,0.0,0.0,179.3,144.9,155.9,176.6,56.8,0.4,0.0,L,L,H
153,maharashtra,dhule,0.0,0.0,0.0,0.0,0.0,108.3,135.8,162.9,105.6,76.0,0.0,14.3,M,L,H
154,maharashtra,hingoli,0.0,0.0,0.0,0.0,2.8,231.0,99.4,220.2,62.4,71.4,0.0,0.0,L,L,H
155,maharashtra,jalgaon,0.0,0.0,0.0,0.0,13.0,118.3,158.6,149.9,121.5,44.7,5.6,0.1,L,L,H
156,maharashtra,jalna,0.0,0.0,0.0,0.0,2.8,154.7,61.0,199.2,168.3,98.9,0.0,0.0,L,L,H
157,maharashtra,kolhapur,0.6,0.0,0.0,0.1,60.1,310.6,613.5,210.3,358.0,166.2,5.4,2.4,M,L,M
158,maharashtra,latur,0.0,0.0,10.7,0.0,4.7,207.3,86.8,311.6,157.7,95.5,0.0,0.0,L,L,H
159,maharashtra,nagpur,0.6,0.0,1.2,0.0,16.4,140.3,236.2,345.4,168.8,41.7,0.0,0.0,L,L,H
161,maharashtra,nanded,0.0,0.0,6.2,0.0,5.9,182.6,123.2,253.8,75.1,65.0,0.0,0.0,L,L,H
162,maharashtra,nandurbar,0.0,0.0,0.0,0.0,0.0,141.8,339.2,153.5,99.8,35.7,0.0,26.8,M,L,H
163,maharashtra,nashik,0.0,0.0,0.0,0.0,12.9,221.0,580.8,260.8,134.6,121.1,2.0,14.4,L,L,M
164,maharashtra,parbhani,0.0,0.0,1.9,0.0,0.0,152.8,72.6,242.9,127.0,94.0,0.0,0.0,L,L,H
165,maharashtra,pune,0.0,0.0,0.0,0.0,24.6,289.1,512.5,290.2,211.0,116.0,13.9,0.7,L,L,H
166,maharashtra,ratnagiri,0.0,0.0,0.0,0.0,93.6,948.0,1094.0,688.1,704.7,155.2,2.1,0.0,L,L,H
167,maharashtra,satara,0.0,0.0,0.0,4.3,38.7,142.3,293.2,126.3,273.5,123.2,10.6,0.0,L,L,M
168,maharashtra,sindhudurg,0.0,0.0,0.0,0.0,84.7,858.6,914.3,557.2,585.2,183.7,0.0,0.0,M,L,L
169,maharashtra,thane,0.0,0.0,0.0,0.0,1.3,681.4,1153.8,950.5,458.1,182.5,0.0,0.0,M,M,M
170,maharashtra,wardha,0.0,0.0,0.3,0.0,8.1,211.2,219.0,162.5,165.0,46.8,0.0,0.0,L,L,H
171,maharashtra,washim,0.0,0.0,1.3,0.0,0.0,207.2,178.2,109.8,97.2,84.6,0.0,0.0,L,L,H
172,maharashtra,yeotmal,0.0,0.0,0.0,0.0,4.4,178.8,150.1,132.8,100.5,52.2,0.0,0.0,L,L,H
