,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
324,maharashtra,hingoli,0.0,0.0,0.0,0.0,2.8,231.0,99.4,220.2,62.4,71.4,0.0,0.0
325,maharashtra,jalgaon,0.0,0.0,0.0,0.0,13.0,118.3,158.6,149.9,121.5,44.7,5.6,0.1
326,maharashtra,jalna,0.0,0.0,0.0,0.0,2.8,154.7,61.0,199.2,168.3,98.9,0.0,0.0
327,maharashtra,kolhapur,0.6,0.0,0.0,0.1,60.1,310.6,613.5,210.3,358.0,166.2,5.4,2.4
328,maharashtra,latur,0.0,0.0,10.7,0.0,4.7,207.3,86.8,311.6,157.7,95.5,0.0,0.0
329,maharashtra,mumbai city,0.0,0.0,0.0,0.0,0.0,559.0,523.6,651.8,519.0,96.0,0.0,104.8
330,maharashtra,mumbai suburban,0.0,0.0,0.0,0.0,3.5,523.2,869.6,950.3,603.2,83.6,0.0,75.8
331,maharashtra,nagpur,0.6,0.0,1.2,0.0,16.4,140.3,236.2,345.4,168.8,41.7,0.0,0.0
332,maharashtra,nanded,0.0,0.0,6.2,0.0,5.9,182.6,123.2,253.8,75.1,65.0,0.0,0.0
333,maharashtra,nandurbar,0.0,0.0,0.0,0.0,0.0,141.8,339.2,153.5,99.8,35.7,0.0,26.8
334,maharashtra,nashik,0.0,0.0,0.0,0.0,12.9,221.0,580.8,260.8,134.6,121.1,2.0,14.4
335,maharashtra,osmanabad,0.0,0.0,12.4,0.0,5.2,259.2,52.8,237.2,232.9,155.8,20.0,4.8
336,maharashtra,palghar,0.0,0.0,0.0,0.0,0.8,715.7,1238.7,698.1,371.5,120.3,0.0,60.8
337,maharashtra,parbhani,0.0,0.0,1.9,0.0,0.0,152.8,72.6,242.9,127.0,94.0,0.0,0.0
338,maharashtra,pune,0.0,0.0,0.0,0.0,24.6,289.1,512.5,290.2,211.0,116.0,13.9,0.7
339,maharashtra,raigarh_mh,0.0,0.0,0.0,0.0,22.2,920.0,1256.8,903.7,571.9,158.2,0.4,29.3
340,maharashtra,ratnagiri,0.0,0.0,0.0,0.0,93.6,948.0,1094.0,688.1,704.7,155.2,2.1,0.0
341,maharashtra,sangli,0.0,0.0,0.0,4.6,25.5,82.7,93.6,52.5,219.3,129.2,7.0,0.0
342,maharashtra,satara,0.0,0.0,0.0,4.3,38.7,142.3,293.2,126.3,273.5,123.2,10.6,0.0
343,maharashtra,sholapur,0.0,0.0,3.4,0.1,6.3,211.4,24.9,159.0,194.9,160.7,2.4,0.0
344,maharashtra,sindhudurg,0.0,0.0,0.0,0.0,84.7,858.6,914.3,557.2,585.2,183.7,0.0,0.0
345,maharashtra,thane,0.0,0.0,0.0,0.0,1.3,681.4,1153.8,950.5,458.1,182.5,0.0,0.0
346,maharashtra,wardha,0.0,0.0,0.3,0.0,8.1,211.2,219.0,162.5,165.0,46.8,0.0,0.0
347,maharashtra,washim,0.0,0.0,1.3,0.0,0.0,207.2,178.2,109.8,97.2,84.6,0.0,0.0
348,maharashtra,yeotmal,0.0,0.0,0.0,0.0,4.4,178.8,150.1,132.8,100.5,52.2,0.0,0.0
349,telangana,mahbubnagar,0.0,0.0,8.2,6.2,23.4,155.1,85.3,124.1,144.5,162.9,0.6,0.0
350,manipur,bishnupur,7.2,0.0,14.0,209.0,150.9,275.2,358.2,124.3,301.7,234.9,3.6,0.0
351,manipur,chandel,7.2,0.0,14.0,209.0,150.9,275.2,358.2,124.3,301.7,234.9,3.6,0.0
352,manipur,churachandpur,7.2,0.0,14.0,209.0,150.9,275.2,358.2,124.3,301.7,234.9,3.6,0.0
353,manipur,imphal,7.2,20.1,212.2,209.0,150.9,275.2,358.2,124.3,301.7,234.9,3.6,0.0
354,manipur,imphal east,7.2,20.1,212.2,209.0,150.9,275.2,358.2,124.3,301.7,234.9,3.6,0.0
355,manipur,imphal west,0.0,13.6,178.2,479.7,189.6,546.9,690.3,803.3,510.5,382.6,2.0,0.0
356,manipur,senapati,0.0,49.0,117.0,138.0,73.0,75.0,95.0,259.0,308.0,101.9,0.0,0.0
357,manipur,tamenglong,0.0,11.0,111.0,92.0,73.0,53.0,49.0,97.0,316.0,101.9,0.0,0.0
358,manipur,thoubal,0.0,11.0,111.0,92.0,73.0,53.0,49.0,97.0,316.0,101.9,0.0,0.0
359,manipur,ukhrul,0.0,0.0,13.3,0.0,4.9,202.5,147.0,214.6,68.1,101.9,0.0,0.0
360,telangana,medak,0.0,0.0,13.3,0.0,4.9,202.5,147.0,214.6,68.1,101.9,0.0,0.0
361,meghalaya,east garo hills,0.0,3.3,187.3,638.5,697.6,602.6,864.4,1173.7,753.6,425.2,16.0,0.0
362,meghalaya,east khasi hills,0.6,214.4,313.4,887.4,395.9,1537.9,1433.0,1523.6,854.0,471.9,11.8,0.0
363,meghalaya,jaintia hills,8.0,0.0,76.1,93.5,433.0,2015.0,157.1,1612.0,167.3,142.6,26.1,0.0
364,meghalaya,ri-bhoi,12.5,0.9,76.1,93.5,122.5,219.9,157.1,326.5,167.3,142.6,26.1,0.0
365,meghalaya,south garo hills,4.0,2.0,249.0,185.0,76.0,342.5,268.8,298.2,386.0,198.2,0.0,0.0
366,meghalaya,west garo hills,1.0,0.0,96.7,289.8,275.2,342.5,268.8,298.2,386.0,198.2,0.0,0.0
367,meghalaya,west khasi hills,2.0,7.0,13.0,389.5,252.9,616.3,352.0,527.7,230.4,338.3,8.9,0.0
368,mizoram,aizwal,1.0,15.4,109.9,389.5,252.9,616.3,352.0,527.7,230.4,338.3,8.9,0.0
369,mizoram,champhai,0.0,0.0,109.5,237.8,149.0,1036.0,1102.0,1496.0,642.5,199.1,7.1,0.0
370,mizoram,kolasib,0.0,0.0,109.5,237.8,149.0,1036.0,1102.0,1496.0,642.5,199.1,7.1,0.0
371,mizoram,lawngtlai,0.0,0.0,109.5,237.8,149.0,1036.0,1102.0,1496.0,642.5,199.1,7.1,0.0
372,mizoram,lunglei,0.0,0.0,109.5,237.8,149.0,1036.0,1102.0,1496.0,642.5,199.1,7.1,0.0
373,mizoram,mamit,0.0,0.0,44.0,121.0,47.0,154.0,346.8,823.2,583.1,393.8,41.4,0.0
374,mizoram,saiha,0.0,0.0,44.0,121.0,47.0,154.0,346.8,823.2,583.1,393.8,41.4,0.0
375,mizoram,serchhip,0.0,0.0,104.4,334.2,147.8,715.3,346.8,823.2,583.1,393.8,41.4,0.0
376,bihar,monghyr,0.0,0.0,0.0,0.0,77.9,52.4,305.6,147.0,215.5,119.0,0.0,0.0
377,assam,morigaon,0.0,6.6,24.6,220.4,170.8,246.0,231.0,370.8,105.0,145.4,20.2,0.0
378,bihar,muzaffarpur,0.1,0.0,13.7,5.3,100.3,67.9,375.4,225.4,80.9,1.5,0.0,0.0
